1	,	79	,	$12.95
1	,	82	,	$14.32
1	,	105	,	$10.62
1	,	130	,	$5.56
1	,	77	,	$4.46
1	,	129	,	$14.81
1	,	131	,	$3.76
1	,	30	,	$11.17
1	,	11	,	$2.33
1	,	81	,	$10.95
1	,	14	,	$6.21
1	,	88	,	$5.17
2	,	37	,	$13.15
2	,	50	,	$1.92
2	,	81	,	$9.87
2	,	106	,	$5.47
2	,	10	,	$2.97
2	,	79	,	$9.58
2	,	7	,	$1.39
2	,	98	,	$10.12
2	,	90	,	$3.14
3	,	5	,	$9.41
3	,	17	,	$13.77
3	,	18	,	$13.13
3	,	64	,	$3.32
3	,	75	,	$14.02
3	,	104	,	$8.07
3	,	13	,	$9.86
3	,	21	,	$9.41
3	,	88	,	$5.07
3	,	38	,	$6.44
3	,	33	,	$6.15
3	,	74	,	$6.98
3	,	17	,	$10.57
3	,	47	,	$9.31
4	,	5	,	$11.35
4	,	40	,	$3.36
4	,	55	,	$4.33
4	,	58	,	$6.87
4	,	65	,	$1.84
4	,	73	,	$9.44
4	,	128	,	$14.33
4	,	113	,	$2.70
4	,	96	,	$7.88
4	,	125	,	$4.22
4	,	86	,	$2.34
4	,	80	,	$11.99
4	,	39	,	$12.88
4	,	15	,	$2.98
5	,	16	,	$14.50
5	,	23	,	$4.50
5	,	25	,	$3.89
5	,	31	,	$14.49
5	,	50	,	$5.57
5	,	52	,	$9.87
5	,	89	,	$13.18
5	,	49	,	$3.29
5	,	114	,	$3.97
5	,	23	,	$6.40
6	,	42	,	$3.79
6	,	77	,	$8.02
6	,	100	,	$1.51
6	,	30	,	$6.46
6	,	55	,	$9.40
6	,	108	,	$10.78
6	,	42	,	$14.67
6	,	87	,	$11.63
6	,	80	,	$10.80
6	,	68	,	$6.67
6	,	10	,	$5.79
6	,	85	,	$3.58
7	,	9	,	$12.38
7	,	32	,	$10.91
7	,	39	,	$8.59
7	,	60	,	$4.01
7	,	61	,	$2.61
7	,	69	,	$2.98
7	,	78	,	$4.57
7	,	104	,	$9.21
7	,	99	,	$6.47
7	,	95	,	$11.67
7	,	5	,	$2.53
7	,	18	,	$7.13
7	,	105	,	$14.46
8	,	14	,	$5.83
8	,	35	,	$2.03
8	,	72	,	$13.57
8	,	109	,	$13.11
8	,	11	,	$6.28
8	,	50	,	$5.96
8	,	38	,	$10.86
8	,	93	,	$10.92
9	,	71	,	$2.36
9	,	76	,	$14.33
9	,	129	,	$12.70
9	,	45	,	$13.18
9	,	62	,	$4.73
9	,	51	,	$14.08
9	,	93	,	$12.62
9	,	21	,	$11.75
10	,	25	,	$4.77
10	,	43	,	$12.27
10	,	48	,	$4.03
10	,	111	,	$4.50
10	,	25	,	$2.64
11	,	6	,	$13.73
11	,	16	,	$7.82
11	,	15	,	$7.65
12	,	7	,	$2.25
12	,	9	,	$7.82
12	,	19	,	$6.26
12	,	109	,	$13.92
12	,	121	,	$7.08
12	,	29	,	$9.28
12	,	70	,	$10.62
12	,	84	,	$9.65
12	,	125	,	$10.76
12	,	12	,	$4.09
13	,	14	,	$8.81
13	,	26	,	$1.12
13	,	39	,	$9.35
13	,	48	,	$14.64
13	,	53	,	$5.22
13	,	54	,	$12.44
13	,	69	,	$11.41
13	,	71	,	$6.51
13	,	93	,	$4.18
13	,	73	,	$8.81
13	,	61	,	$9.14
13	,	46	,	$7.80
13	,	19	,	$12.22
13	,	62	,	$7.51
14	,	47	,	$1.82
14	,	57	,	$13.61
14	,	59	,	$11.95
14	,	82	,	$3.13
14	,	99	,	$9.80
14	,	131	,	$3.71
14	,	10	,	$7.93
14	,	50	,	$7.44
14	,	44	,	$7.24
14	,	128	,	$14.60
15	,	13	,	$2.68
15	,	44	,	$12.29
15	,	57	,	$1.74
15	,	71	,	$11.22
15	,	92	,	$6.63
15	,	108	,	$4.60
15	,	122	,	$6.81
15	,	76	,	$13.66
15	,	65	,	$2.89
15	,	12	,	$12.80
16	,	14	,	$14.88
16	,	30	,	$11.62
16	,	40	,	$11.09
16	,	108	,	$10.18
16	,	119	,	$11.72
16	,	123	,	$5.60
16	,	35	,	$4.08
16	,	66	,	$10.41
17	,	13	,	$12.16
17	,	14	,	$6.29
17	,	68	,	$13.14
17	,	75	,	$8.36
17	,	82	,	$4.48
17	,	93	,	$8.37
17	,	112	,	$9.98
17	,	98	,	$14.41
17	,	101	,	$12.35
18	,	25	,	$11.44
18	,	36	,	$13.61
18	,	51	,	$6.10
18	,	104	,	$12.14
18	,	111	,	$4.36
18	,	65	,	$1.14
18	,	73	,	$9.52
18	,	56	,	$11.91
18	,	50	,	$13.94
18	,	113	,	$9.93
18	,	23	,	$13.55
19	,	35	,	$13.76
19	,	39	,	$6.12
19	,	86	,	$2.99
19	,	115	,	$12.97
19	,	115	,	$3.13
19	,	123	,	$1.08
19	,	41	,	$14.07
19	,	103	,	$1.02
19	,	125	,	$11.77
19	,	110	,	$5.84
19	,	86	,	$14.30
19	,	76	,	$6.47
19	,	72	,	$12.40
20	,	131	,	$7.03
20	,	15	,	$8.65
20	,	97	,	$7.40
20	,	1	,	$14.32
20	,	49	,	$1.20
20	,	103	,	$7.70
20	,	42	,	$1.23
